ID,Structure,Cyp2C9 pIC50,Cyp3A4 pIC50,HNE pIC50,RNE pIC50,Fmax
CMC11,FC(F)(F)c1cc(N2C(C)=C(C(=O)C)C(c3ccc(C#N)cc3)CC2=O)ccc1,,8.05,7.3,,
CMC13,FC(F)(F)c1cc(N2C(C)=C(C#N)C(c3ccc(C#N)cc3)CC2=O)ccc1,,7.82,7.7,,
CMC09,FC(F)(F)c1cc(N2C(N)=C(C(=O)OCC)C(c3ccc(C#N)cc3)C(C(=O)C)=C2C)ccc1,9.3,7.6,7.7,,57
CMC10,FC(F)(F)c1cc(N2C(C)=C(C(=O)C)C(c3ccc(C#N)cc3)C(C(=O)OCC)C2=O)ccc1,,8.4,7.4,,
CMC12,FC(F)(F)c1cc(N2C(C)=C(C(=O)OCC)C(c3ccc(C#N)cc3)CC2=O)ccc1,,,7.15,,
CMC14,FC(F)(F)c1cc(N2C(C)=C(C(=O)OCC)[C@@H](c3ccc(C#N)cc3)NC2=O)ccc1,8.3,7.3,7.57,6.72,5
CMC15,FC(F)(F)c1cc(N2C(=O)N(CC(=O)N)[C@H](c3ccc(C#N)cc3)C(C(=O)OCC)=C2C)ccc1,7.3,7.3,9,7.82,13
CMC16,FC(F)(F)c1cc(N2C(=O)N(CC(=O)[O-])[C@H](c3ccc(C#N)cc3)C(C(=O)OCC)=C2C)ccc1,7.3,7.3,8.68,7.37,94
CMC17,FC(F)(F)c1cc(N2C(C)=C(C(=O)OCCO)[C@@H](c3ccc(C#N)cc3)NC2=O)ccc1,8.7,7.3,8.37,6.56,57
CMC18,FC(F)(F)c1cc(N2C(C)=C(C(=O)C)[C@@H](c3ccc(C#N)cc3)NC2=O)ccc1,8.15,7.3,7.89,,31
CMC19,FC(F)(F)c1cc(N2C(=O)N(CC(=O)[O-])[C@H](c3ccc(C#N)cc3)C(C(=O)C)=C2C)ccc1,7.51,7,8.46,7.36,96
CMC20,FC(F)(F)c1cc(N2C(C)=C(C(=O)C)[C@@H](c3cnc(C#N)cc3)NC2=O)ccc1,7.92,7.3,7.7,6.1,57
